{'loss': 0.3024, 'grad_norm': 11.106904983520508, 'learning_rate': 6.000000000000001e-07, 'epoch': 0.01}
{'loss': 0.2437, 'grad_norm': 12.92393970489502, 'learning_rate': 1.2000000000000002e-06, 'epoch': 0.02}
{'loss': 0.3611, 'grad_norm': 16.513202667236328, 'learning_rate': 1.8e-06, 'epoch': 0.02}
{'loss': 0.2685, 'grad_norm': 11.4814453125, 'learning_rate': 2.4000000000000003e-06, 'epoch': 0.03}
{'loss': 0.2744, 'grad_norm': 5.0239481925964355, 'learning_rate': 3e-06, 'epoch': 0.04}
{'loss': 0.2508, 'grad_norm': 61.63874053955078, 'learning_rate': 3.6e-06, 'epoch': 0.05}
{'loss': 0.2044, 'grad_norm': 12.134982109069824, 'learning_rate': 4.2000000000000004e-06, 'epoch': 0.06}
{'loss': 0.2496, 'grad_norm': 0.7481975555419922, 'learning_rate': 4.800000000000001e-06, 'epoch': 0.06}
{'loss': 0.3575, 'grad_norm': 3.1321816444396973, 'learning_rate': 5.4e-06, 'epoch': 0.07}
{'loss': 0.214, 'grad_norm': 81.23739624023438, 'learning_rate': 6e-06, 'epoch': 0.08}
{'loss': 0.0949, 'grad_norm': 1.1557658910751343, 'learning_rate': 6.6e-06, 'epoch': 0.09}
{'loss': 0.2098, 'grad_norm': 1.2891802787780762, 'learning_rate': 7.2e-06, 'epoch': 0.1}
{'loss': 0.1596, 'grad_norm': 11.367828369140625, 'learning_rate': 7.8e-06, 'epoch': 0.1}
{'loss': 0.2526, 'grad_norm': 21.08201789855957, 'learning_rate': 8.400000000000001e-06, 'epoch': 0.11}
{'loss': 0.1531, 'grad_norm': 1.0920745134353638, 'learning_rate': 9e-06, 'epoch': 0.12}
{'loss': 0.0789, 'grad_norm': 38.977725982666016, 'learning_rate': 9.600000000000001e-06, 'epoch': 0.13}
{'loss': 0.2023, 'grad_norm': 238.3189239501953, 'learning_rate': 1.02e-05, 'epoch': 0.14}
{'loss': 0.2477, 'grad_norm': 95.8564682006836, 'learning_rate': 1.08e-05, 'epoch': 0.14}
{'loss': 0.09, 'grad_norm': 0.9503646492958069, 'learning_rate': 1.1400000000000001e-05, 'epoch': 0.15}
{'loss': 0.0464, 'grad_norm': 1.127570390701294, 'learning_rate': 1.2e-05, 'epoch': 0.16}
